market_listing_price,market_listing_price 2,market_listing_right_cell,market_listing_item_name_link,market_listing_game_name,market_listing_listed_date_combined,,,,,
0.05,0.03,22-Jan,Miller,Deus Ex: Mankind Divided™ Trading Card,Listed: 22 Jan,,,,average price,0.039723502
0.05,0.03,22-Jan,Rucker,Deus Ex: Mankind Divided™ Trading Card,Listed: 22 Jan,,,,,
0.05,0.03,22-Jan,Sarif  Trading Card ,Deus Ex: Mankind Divided™ Trading Card,Listed: 22 Jan,,,,,
0.05,0.03,22-Jan,Vega  Trading Card ,Deus Ex: Mankind Divided™ Trading Card,Listed: 22 Jan,,,,cards/dollar,35.2
0.05,0.03,22-Jan,Griffin,Dragon's Dogma: Dark Arisen Trading Card,Listed: 22 Jan,,,,cards/dollar,54.3
0.04,0.02,25-Jan,Defensive Midfielder,Football Manager 2019 Trading Card,Listed: 25 Jan,,,,,
0.04,0.02,25-Jan,Defensive Winger,Football Manager 2019 Trading Card,Listed: 25 Jan,,,,,
0.04,0.02,25-Jan,Inside Forward,Football Manager 2019 Trading Card,Listed: 25 Jan,,,,,
0.04,0.02,25-Jan,Pressing Forward,Football Manager 2019 Trading Card,Listed: 25 Jan,,,,,
0.1,0.08,25-Jan,Pressing Forward  Foil ,Football Manager 2019 Foil Trading Card,Listed: 25 Jan,,,,,
0.05,0.03,25-Jan,Colors are overrated,SuchArt! Trading Card,Listed: 25 Jan,,,,,
0.05,0.03,25-Jan,Paint it with fire,SuchArt! Trading Card,Listed: 25 Jan,,,,,
0.08,0.06,15-Feb,forest monster,Creepy Tale Trading Card,Listed: 15 Feb,,,,,
0.05,0.03,15-Feb,BM-13 Katyusha Rocket Truck,Company of Heroes 2 Trading Card,Listed: 15 Feb,,,,,
0.05,0.03,15-Feb,T34-76 Medium Tank,Company of Heroes 2 Trading Card,Listed: 15 Feb,,,,,
0.05,0.03,15-Feb,Eliza,Skullgirls 2nd Encore Trading Card,Listed: 15 Feb,,,,,
0.05,0.03,15-Feb,Parasoul,Skullgirls 2nd Encore Trading Card,Listed: 15 Feb,,,,,
0.08,0.06,15-Feb,Wisp  Trading Card ,Risk of Rain Trading Card,Listed: 15 Feb,,,,,
0.07,0.05,15-Feb,A small cabin,Knock-knock Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,DEMOMAN  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,DEMOMAN  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,ENGINEER  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,ENGINEER  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,ENGINEER  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,ENGINEER  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,ENGINEER  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,MEDIC  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,MEDIC  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,MEDIC  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,MEDIC  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,MEDIC  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,PYRO  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SCOUT  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SCOUT  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SCOUT  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SCOUT  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SNIPER  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SNIPER  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SNIPER  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SNIPER  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SNIPER  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SNIPER  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SNIPER  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SNIPER  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SNIPER  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SOLDIER  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SOLDIER  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SOLDIER  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SOLDIER  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SOLDIER  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SOLDIER  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SOLDIER  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SOLDIER  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SOLDIER  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SPY  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SPY  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SPY  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SPY  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SPY  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SPY  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SPY  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.06,0.04,15-Feb,SPY  Trading Card ,Team Fortress 2 Trading Card,Listed: 15 Feb,,,,,
0.12,0.1,15-Feb,Sharkle!,Night in the Woods Trading Card,Listed: 15 Feb,,,,,
0.04,0.02,15-Feb,Tidehunter  Trading Card ,Dota 2 Trading Card,Listed: 15 Feb,,,,,
0.04,0.02,15-Feb,Traitor,Project Winter Trading Card,Listed: 15 Feb,,,,,
0.05,0.03,15-Feb,Benjamin,Bloons TD 6 Trading Card,Listed: 15 Feb,,,,,
0.05,0.03,19-Feb,Deepest Tartarus,Hades Profile Background,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,Infernal Parchmentwork,Hades Uncommon Profile Background,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,Twin Fists of Malphon,Hades Rare Profile Background,Listed: 19 Feb,,,,,
0.04,0.02,19-Feb,Dark Alchemist,Skul: The Hero Slayer Trading Card,Listed: 19 Feb,,,,,
0.04,0.02,19-Feb,Nightmare,Skul: The Hero Slayer Trading Card,Listed: 19 Feb,,,,,
0.04,0.02,19-Feb,Pikeman Captain,Skul: The Hero Slayer Trading Card,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,Live Fire,Titanfall® 2 Profile Background,Listed: 19 Feb,,,,,
0.08,0.06,19-Feb,Facepaint,Battlefield™ V Trading Card,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,BF4 Final Stand,Battlefield 4™  Profile Background,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,BF4 Premium,Battlefield 4™  Profile Background,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,BF4 Theme I,Battlefield 4™  Rare Profile Background,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,#777 Nissan 240SX,Forza Horizon 4 Trading Card,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,Brickchester Airport,Forza Horizon 4 Trading Card,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,Brickchester Airport,Forza Horizon 4 Trading Card,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,Edinburgh,Forza Horizon 4 Trading Card,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,Fortune Island,Forza Horizon 4 Trading Card,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,Fortune Island,Forza Horizon 4 Trading Card,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,McLaren Senna,Forza Horizon 4 Trading Card,Listed: 19 Feb,,,,,
0.29,0.26,19-Feb,Random Box,Idle Slayer Trading Card,Listed: 19 Feb,,,,,
0.04,0.02,19-Feb,Belphyor,Across the Obelisk Trading Card,Listed: 19 Feb,,,,,
0.09,0.07,19-Feb,Santiago 'Dozer' Espinoza,Battlefield™ 2042 Trading Card,Listed: 19 Feb,,,,,
0.08,0.06,19-Feb,Horizon EventLab,Forza Horizon 5 Trading Card,Listed: 19 Feb,,,,,
0.08,0.06,19-Feb,Horizon Baja,Forza Horizon 5 Trading Card,Listed: 19 Feb,,,,,
0.08,0.06,19-Feb,Horizon Baja,Forza Horizon 5 Trading Card,Listed: 19 Feb,,,,,
0.08,0.06,19-Feb,Horizon Mexico,Forza Horizon 5 Trading Card,Listed: 19 Feb,,,,,
0.03,0.01,19-Feb,Boardroom Concept,Oddworld: Abe's Oddysee Rare Profile Background,Listed: 19 Feb,,,,,
0.03,0.01,19-Feb,RuptureFarms original matte art,Oddworld: Abe's Oddysee Profile Background,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,Last Frontier,Cortex Command Trading Card,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,Last Frontier,Cortex Command Trading Card,Listed: 19 Feb,,,,,
0.16,0.14,19-Feb,Torn Page of the Guide of Bain  Foil ,PAYDAY 2 Foil Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,Corpus Transport Freighter  Profile Background ,Warframe Profile Background,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,Orokin Tower  Profile Background ,Warframe Rare Profile Background,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,Shadow Realm,Shadow Warrior Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,Ready for Battle  Profile Background ,Warframe Profile Background,Listed: 19 Feb,,,,,
0.07,0.05,19-Feb,X - Wheel of Fortune,The Binding of Isaac: Rebirth Trading Card,Listed: 19 Feb,,,,,
0.08,0.06,19-Feb,XI - Strength,The Binding of Isaac: Rebirth Trading Card,Listed: 19 Feb,,,,,
0.08,0.06,19-Feb,XIII - Death,The Binding of Isaac: Rebirth Trading Card,Listed: 19 Feb,,,,,
0.08,0.06,19-Feb,XIII - Death,The Binding of Isaac: Rebirth Trading Card,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,Captain Yuri,Out There Somewhere Trading Card,Listed: 19 Feb,,,,,
0.07,0.05,19-Feb,XVI - The Tower,The Binding of Isaac: Rebirth Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,Grigori,Out There Somewhere Trading Card,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,Robot War,Splatter - Zombiecalypse Now Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,Crash,PARTICLE MACE Trading Card,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,For Sport,Duck Game Profile Background,Listed: 19 Feb,,,,,
0.04,0.02,19-Feb,Seraph  Trading Card ,Call of Duty: Black Ops III Trading Card,Listed: 19 Feb,,,,,
0.07,0.05,19-Feb,Landing Platform,The Howler Trading Card,Listed: 19 Feb,,,,,
0.08,0.06,19-Feb,Enemy Platform,The Howler Trading Card,Listed: 19 Feb,,,,,
0.04,0.02,19-Feb,Warden,For Honor Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,Viking Helmet,For Honor Profile Background,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,Viking Helmet,For Honor Profile Background,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,Viking Helmet,For Honor Profile Background,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,Samurai Helmet,For Honor Profile Background,Listed: 19 Feb,,,,,
0.04,0.02,19-Feb,Orochi,For Honor Trading Card,Listed: 19 Feb,,,,,
0.04,0.02,19-Feb,Nobushi,For Honor Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,Knight Helmet,For Honor Profile Background,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,Knight,For Honor Uncommon Profile Background,Listed: 19 Feb,,,,,
0.04,0.02,19-Feb,Kensei,For Honor Trading Card,Listed: 19 Feb,,,,,
0.04,0.02,19-Feb,Conqueror,For Honor Trading Card,Listed: 19 Feb,,,,,
0.04,0.02,19-Feb,Conqueror,For Honor Trading Card,Listed: 19 Feb,,,,,
0.08,0.06,19-Feb,Smooth Flight,PARTICLE MACE Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,Dog Fight,PARTICLE MACE Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,Market Economy,Splatter - Zombiecalypse Now Trading Card,Listed: 19 Feb,,,,,
0.07,0.05,19-Feb,Hunter,See No Evil Trading Card,Listed: 19 Feb,,,,,
0.07,0.05,19-Feb,Bell Flowers,See No Evil Trading Card,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,Sleepy Old Man,See No Evil Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,Bee,Morphopolis Trading Card,Listed: 19 Feb,,,,,
0.07,0.05,19-Feb,Leaf Insect,Morphopolis Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,Collected Insect,Morphopolis Trading Card,Listed: 19 Feb,,,,,
0.07,0.05,19-Feb,Blue Cube,Polarity Trading Card,Listed: 19 Feb,,,,,
0.07,0.05,19-Feb,Deadly Lasers,Polarity Trading Card,Listed: 19 Feb,,,,,
0.07,0.05,19-Feb,Matches and Theorems,Don't Starve Together Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,Linus,Polarity Trading Card,Listed: 19 Feb,,,,,
0.07,0.05,19-Feb,Shouts and Silence,Don't Starve Together Trading Card,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,Funeral Director,Greyfox Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,Roadkill,State of Decay: Year-One Trading Card,Listed: 19 Feb,,,,,
0.07,0.05,19-Feb,Shouts and Silence,Don't Starve Together Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,Relentless Pursuit,Cat Goes Fishing Trading Card,Listed: 19 Feb,,,,,
0.09,0.07,19-Feb,Electro Boss,Plazma Being Trading Card,Listed: 19 Feb,,,,,
0.08,0.06,19-Feb,Mangled Metropolis,Plazma Being Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,Clock,House of Caravan Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,Mechanical Moor,Plazma Being Trading Card,Listed: 19 Feb,,,,,
0.07,0.05,19-Feb,Lady Caravan,House of Caravan Trading Card,Listed: 19 Feb,,,,,
0.04,0.02,19-Feb,Brûz’s Mob,Middle-earth™: Shadow of War™ Trading Card,Listed: 19 Feb,,,,,
0.04,0.02,19-Feb,Az-Laar the Demolisher,Middle-earth™: Shadow of War™ Trading Card,Listed: 19 Feb,,,,,
0.04,0.02,19-Feb,Gorgoroth,Middle-earth™: Shadow of War™ Trading Card,Listed: 19 Feb,,,,,
0.04,0.02,19-Feb,Gravewalker,Middle-earth™: Shadow of War™ Trading Card,Listed: 19 Feb,,,,,
0.04,0.02,19-Feb,Gorgoroth,Middle-earth™: Shadow of War™ Trading Card,Listed: 19 Feb,,,,,
0.04,0.02,19-Feb,Tar Goroth,Middle-earth™: Shadow of War™ Trading Card,Listed: 19 Feb,,,,,
0.04,0.02,19-Feb,Tar Goroth,Middle-earth™: Shadow of War™ Trading Card,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,Doc  Profile Background ,Tom Clancy's Rainbow Six Siege Profile Background,Listed: 19 Feb,,,,,
0.04,0.02,19-Feb,War Form,Middle-earth™: Shadow of War™ Trading Card,Listed: 19 Feb,,,,,
0.09,0.07,19-Feb,Auroara & Archaeomagusaurus,Fate Tectonics Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,Friends!,Three Heroes Trading Card,Listed: 19 Feb,,,,,
0.07,0.05,19-Feb,Dobrynya&Ilya,Three Heroes Trading Card,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,Ultimate Squirrel,Ultimate Chicken Horse Trading Card,Listed: 19 Feb,,,,,
0.07,0.05,19-Feb,Seth,Spaceport Hope Trading Card,Listed: 19 Feb,,,,,
0.09,0.07,19-Feb,Hero,Spaceport Hope Trading Card,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,Mining Drone,EVERSPACE™ Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,Face Posing,Garry's Mod Trading Card,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,Okkar Fighter,EVERSPACE™ Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,Missing Textures,Garry's Mod Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,Movie Maker,Garry's Mod Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,Missing Textures,Garry's Mod Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,Spammer,Garry's Mod Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,ENGINEER  Trading Card ,Team Fortress 2 Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,PYRO  Trading Card ,Team Fortress 2 Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,SOLDIER  Trading Card ,Team Fortress 2 Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,PYRO  Trading Card ,Team Fortress 2 Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,SPY  Trading Card ,Team Fortress 2 Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,SOLDIER  Trading Card ,Team Fortress 2 Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,SPY  Trading Card ,Team Fortress 2 Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,SPY  Trading Card ,Team Fortress 2 Trading Card,Listed: 19 Feb,,,,,
0.08,0.06,19-Feb,A Cross in the Dark,Tom Clancy's Ghost Recon® Wildlands Trading Card,Listed: 19 Feb,,,,,
0.08,0.06,19-Feb,A Cross in the Dark,Tom Clancy's Ghost Recon® Wildlands Trading Card,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,Shinto,Sins Of The Demon RPG Trading Card,Listed: 19 Feb,,,,,
0.06,0.04,19-Feb,Kenshi,Sins Of The Demon RPG Trading Card,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,Kaiya,Sins Of The Demon RPG Trading Card,Listed: 19 Feb,,,,,
0.08,0.06,19-Feb,Lawan  Trading Card ,Dying Light 2 Trading Card,Listed: 19 Feb,,,,,
0.08,0.06,19-Feb,Lawan  Trading Card ,Dying Light 2 Trading Card,Listed: 19 Feb,,,,,
0.07,0.05,19-Feb,Glyphid Swarmer,Deep Rock Galactic Trading Card,Listed: 19 Feb,,,,,
0.04,0.02,19-Feb,Anarchist,Counter-Strike: Global Offensive Trading Card,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,Linzi,Pathfinder: Kingmaker Trading Card,Listed: 19 Feb,,,,,
0.07,0.05,19-Feb,Senko,CarX Drift Racing Online Trading Card,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,FBI,Counter-Strike: Global Offensive Trading Card,Listed: 19 Feb,,,,,
0.04,0.02,19-Feb,Anarchist,Counter-Strike: Global Offensive Trading Card,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,Man,Breathedge Trading Card,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,IDF,Counter-Strike: Global Offensive Trading Card,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,IDF,Counter-Strike: Global Offensive Trading Card,Listed: 19 Feb,,,,,
0.04,0.02,19-Feb,The Great Escape,Project Winter Trading Card,Listed: 19 Feb,,,,,
0.07,0.05,19-Feb,The High Priestess,Phasmophobia Trading Card,Listed: 19 Feb,,,,,
0.05,0.03,19-Feb,The Greatest Chase,Among Us Trading Card,Listed: 19 Feb,,,,,
0.05,0.03,21-Feb,Conveyor,Hydroneer Trading Card,Listed: 21 Feb,,,,,
0.06,0.04,21-Feb,Legendary Chalice,Cuphead Trading Card,Listed: 21 Feb,,,,,
0.07,0.05,21-Feb,Things,Knock-knock Trading Card,Listed: 21 Feb,,,,,
0.08,0.06,21-Feb,The doppelganger,Knock-knock Trading Card,Listed: 21 Feb,,,,,
0.06,0.04,21-Feb,A young girl,Knock-knock Trading Card,Listed: 21 Feb,,,,,
0.07,0.05,21-Feb,A small cabin,Knock-knock Trading Card,Listed: 21 Feb,,,,,
0.1,0.08,21-Feb,Hivers,Kenshi Trading Card,Listed: 21 Feb,,,,,
0.08,0.06,21-Feb,Gorillo,Kenshi Trading Card,Listed: 21 Feb,,,,,
0.1,0.08,21-Feb,Beakthing,Kenshi Trading Card,Listed: 21 Feb,,,,,
0.05,0.03,21-Feb,StuG III Ausf. G Assault Gun,Company of Heroes 2 Trading Card,Listed: 21 Feb,,,,,
0.05,0.03,21-Feb,Conveyor,Hydroneer Trading Card,Listed: 21 Feb,,,,,
0.05,0.03,21-Feb,Conveyor,Hydroneer Trading Card,Listed: 21 Feb,,,,,
0.04,0.02,21-Feb,Kurt,11-11 Memories Retold Trading Card,Listed: 21 Feb,,,,,
0.04,0.02,21-Feb,Cat in Sunlight,11-11 Memories Retold Trading Card,Listed: 21 Feb,,,,,
0.04,0.02,21-Feb,Kurt's home,11-11 Memories Retold Trading Card,Listed: 21 Feb,,,,,
0.04,0.02,21-Feb,Kurt's home,11-11 Memories Retold Trading Card,Listed: 21 Feb,,,,,
0.04,0.02,21-Feb,Pigeon,11-11 Memories Retold Trading Card,Listed: 21 Feb,,,,,
0.04,0.02,21-Feb,Kurt's home,11-11 Memories Retold Trading Card,Listed: 21 Feb,,,,,
0.04,0.02,21-Feb,Knife Way to Make Friends,Among Us Trading Card,Listed: 21 Feb,,,,,
0.05,0.03,21-Feb,End of the Line,Among Us Trading Card,Listed: 21 Feb,,,,,
